Date,Audience by watch behaviour,Views
2022-03-15,Casual viewers,0
2022-03-16,Casual viewers,0
2022-03-17,Casual viewers,0
2022-03-18,Casual viewers,0
2022-03-19,Casual viewers,0
2022-03-20,Casual viewers,0
2022-03-21,Casual viewers,0
2022-03-22,Casual viewers,0
2022-03-23,Casual viewers,0
2022-03-24,Casual viewers,0
2022-03-25,Casual viewers,0
2022-03-26,Casual viewers,0
2022-03-27,Casual viewers,0
2022-03-28,Casual viewers,0
2022-03-29,Casual viewers,0
2022-03-30,Casual viewers,0
2022-03-31,Casual viewers,0
2022-04-01,Casual viewers,0
2022-04-02,Casual viewers,0
2022-04-03,Casual viewers,0
2022-04-04,Casual viewers,0
2022-04-05,Casual viewers,0
2022-04-06,Casual viewers,0
2022-04-07,Casual viewers,0
2022-04-08,Casual viewers,0
2022-04-09,Casual viewers,0
2022-04-10,Casual viewers,0
2022-04-11,Casual viewers,0
2022-04-12,Casual viewers,0
2022-04-13,Casual viewers,0
2022-04-14,Casual viewers,0
2022-04-15,Casual viewers,0
2022-04-16,Casual viewers,0
2022-04-17,Casual viewers,0
2022-04-18,Casual viewers,0
2022-04-19,Casual viewers,0
2022-04-20,Casual viewers,0
2022-04-21,Casual viewers,0
2022-04-22,Casual viewers,0
2022-04-23,Casual viewers,0
2022-04-24,Casual viewers,0
2022-04-25,Casual viewers,0
2022-04-26,Casual viewers,0
2022-04-27,Casual viewers,0
2022-04-28,Casual viewers,0
2022-04-29,Casual viewers,0
2022-04-30,Casual viewers,0
2022-05-01,Casual viewers,0
2022-05-02,Casual viewers,0
2022-05-03,Casual viewers,0
2022-05-04,Casual viewers,0
2022-05-05,Casual viewers,0
2022-05-06,Casual viewers,0
2022-05-07,Casual viewers,0
2022-05-08,Casual viewers,0
2022-05-09,Casual viewers,0
2022-05-10,Casual viewers,0
2022-05-11,Casual viewers,0
2022-05-12,Casual viewers,0
2022-05-13,Casual viewers,0
2022-05-14,Casual viewers,0
2022-05-15,Casual viewers,0
2022-05-16,Casual viewers,0
2022-05-17,Casual viewers,0
2022-05-18,Casual viewers,0
2022-05-19,Casual viewers,0
2022-05-20,Casual viewers,0
2022-05-21,Casual viewers,0
2022-05-22,Casual viewers,0
2022-05-23,Casual viewers,0
2022-05-24,Casual viewers,0
2022-05-25,Casual viewers,0
2022-05-26,Casual viewers,0
2022-05-27,Casual viewers,0
2022-05-28,Casual viewers,0
2022-05-29,Casual viewers,0
2022-05-30,Casual viewers,0
2022-05-31,Casual viewers,0
2022-06-01,Casual viewers,0
2022-06-02,Casual viewers,0
2022-06-03,Casual viewers,0
2022-06-04,Casual viewers,0
2022-06-05,Casual viewers,0
2022-06-06,Casual viewers,0
2022-06-07,Casual viewers,0
2022-06-08,Casual viewers,0
2022-06-09,Casual viewers,0
2022-06-10,Casual viewers,0
2022-06-11,Casual viewers,0
2022-06-12,Casual viewers,0
2022-06-13,Casual viewers,0
2022-06-14,Casual viewers,0
2022-06-15,Casual viewers,0
2022-06-16,Casual viewers,0
2022-06-17,Casual viewers,0
2022-06-18,Casual viewers,0
2022-06-19,Casual viewers,0
2022-06-20,Casual viewers,0
2022-06-21,Casual viewers,0
2022-06-22,Casual viewers,0
2022-06-23,Casual viewers,0
2022-06-24,Casual viewers,0
2022-06-25,Casual viewers,0
2022-06-26,Casual viewers,0
2022-06-27,Casual viewers,0
2022-06-28,Casual viewers,0
2022-06-29,Casual viewers,0
2022-06-30,Casual viewers,0
2022-07-01,Casual viewers,0
2022-07-02,Casual viewers,0
2022-07-03,Casual viewers,0
2022-07-04,Casual viewers,0
2022-07-05,Casual viewers,0
2022-07-06,Casual viewers,0
2022-07-07,Casual viewers,0
2022-07-08,Casual viewers,0
2022-07-09,Casual viewers,0
2022-07-10,Casual viewers,0
2022-07-11,Casual viewers,0
2022-07-12,Casual viewers,0
2022-07-13,Casual viewers,0
2022-07-14,Casual viewers,0
2022-07-15,Casual viewers,0
2022-07-16,Casual viewers,0
2022-07-17,Casual viewers,0
2022-07-18,Casual viewers,0
2022-07-19,Casual viewers,0
2022-07-20,Casual viewers,0
2022-07-21,Casual viewers,0
2022-07-22,Casual viewers,0
2022-07-23,Casual viewers,0
2022-07-24,Casual viewers,0
2022-07-25,Casual viewers,0
2022-07-26,Casual viewers,0
2022-07-27,Casual viewers,0
2022-07-28,Casual viewers,0
2022-07-29,Casual viewers,0
2022-07-30,Casual viewers,0
2022-07-31,Casual viewers,0
2022-08-01,Casual viewers,0
2022-08-02,Casual viewers,0
2022-08-03,Casual viewers,0
2022-08-04,Casual viewers,0
2022-08-05,Casual viewers,0
2022-08-06,Casual viewers,0
2022-08-07,Casual viewers,0
2022-08-08,Casual viewers,0
2022-08-09,Casual viewers,0
2022-08-10,Casual viewers,0
2022-08-11,Casual viewers,0
2022-08-12,Casual viewers,0
2022-08-13,Casual viewers,0
2022-08-14,Casual viewers,0
2022-08-15,Casual viewers,0
2022-08-16,Casual viewers,0
2022-08-17,Casual viewers,0
2022-08-18,Casual viewers,0
2022-08-19,Casual viewers,0
2022-08-20,Casual viewers,0
2022-08-21,Casual viewers,0
2022-08-22,Casual viewers,0
2022-08-23,Casual viewers,0
2022-08-24,Casual viewers,0
2022-08-25,Casual viewers,0
2022-08-26,Casual viewers,0
2022-08-27,Casual viewers,0
2022-08-28,Casual viewers,0
2022-08-29,Casual viewers,0
2022-08-30,Casual viewers,0
2022-08-31,Casual viewers,0
2022-09-01,Casual viewers,0
2022-09-02,Casual viewers,0
2022-09-03,Casual viewers,0
2022-09-04,Casual viewers,0
2022-09-05,Casual viewers,0
2022-09-06,Casual viewers,0
2022-09-07,Casual viewers,0
2022-09-08,Casual viewers,0
2022-09-09,Casual viewers,0
2022-09-10,Casual viewers,0
2022-09-11,Casual viewers,0
2022-09-12,Casual viewers,0
2022-09-13,Casual viewers,0
2022-09-14,Casual viewers,0
2022-09-15,Casual viewers,0
2022-09-16,Casual viewers,0
2022-09-17,Casual viewers,0
2022-09-18,Casual viewers,0
2022-09-19,Casual viewers,0
2022-09-20,Casual viewers,0
2022-09-21,Casual viewers,0
2022-09-22,Casual viewers,0
2022-09-23,Casual viewers,0
2022-09-24,Casual viewers,0
2022-09-25,Casual viewers,0
2022-09-26,Casual viewers,0
2022-09-27,Casual viewers,0
2022-09-28,Casual viewers,0
2022-09-29,Casual viewers,0
2022-09-30,Casual viewers,0
2022-10-01,Casual viewers,0
2022-10-02,Casual viewers,0
2022-10-03,Casual viewers,0
2022-10-04,Casual viewers,0
2022-10-05,Casual viewers,0
2022-10-06,Casual viewers,0
2022-10-07,Casual viewers,0
2022-10-08,Casual viewers,0
2022-10-09,Casual viewers,0
2022-10-10,Casual viewers,0
2022-10-11,Casual viewers,0
2022-10-12,Casual viewers,0
2022-10-13,Casual viewers,0
2022-10-14,Casual viewers,0
2022-10-15,Casual viewers,0
2022-10-16,Casual viewers,0
2022-10-17,Casual viewers,0
2022-10-18,Casual viewers,0
2022-10-19,Casual viewers,0
2022-10-20,Casual viewers,0
2022-10-21,Casual viewers,0
2022-10-22,Casual viewers,0
2022-10-23,Casual viewers,0
2022-10-24,Casual viewers,0
2022-10-25,Casual viewers,0
2022-10-26,Casual viewers,0
2022-10-27,Casual viewers,0
2022-10-28,Casual viewers,0
2022-10-29,Casual viewers,0
2022-10-30,Casual viewers,0
2022-10-31,Casual viewers,0
2022-11-01,Casual viewers,0
2022-11-02,Casual viewers,0
2022-11-03,Casual viewers,0
2022-11-04,Casual viewers,0
2022-11-05,Casual viewers,0
2022-11-06,Casual viewers,0
2022-11-07,Casual viewers,0
2022-11-08,Casual viewers,0
2022-11-09,Casual viewers,0
2022-11-10,Casual viewers,0
2022-11-11,Casual viewers,0
2022-11-12,Casual viewers,0
2022-11-13,Casual viewers,0
2022-11-14,Casual viewers,0
2022-11-15,Casual viewers,0
2022-11-16,Casual viewers,0
2022-11-17,Casual viewers,0
2022-11-18,Casual viewers,0
2022-11-19,Casual viewers,0
2022-11-20,Casual viewers,0
2022-11-21,Casual viewers,0
2022-11-22,Casual viewers,0
2022-11-23,Casual viewers,0
2022-11-24,Casual viewers,0
2022-11-25,Casual viewers,0
2022-11-26,Casual viewers,0
2022-11-27,Casual viewers,0
2022-11-28,Casual viewers,0
2022-11-29,Casual viewers,0
2022-11-30,Casual viewers,0
2022-12-01,Casual viewers,0
2022-12-02,Casual viewers,0
2022-12-03,Casual viewers,0
2022-12-04,Casual viewers,0
2022-12-05,Casual viewers,0
2022-12-06,Casual viewers,0
2022-12-07,Casual viewers,0
2022-12-08,Casual viewers,0
2022-12-09,Casual viewers,0
2022-12-10,Casual viewers,0
2022-12-11,Casual viewers,0
2022-12-12,Casual viewers,0
2022-12-13,Casual viewers,0
2022-12-14,Casual viewers,0
2022-12-15,Casual viewers,0
2022-12-16,Casual viewers,0
2022-12-17,Casual viewers,0
2022-12-18,Casual viewers,0
2022-12-19,Casual viewers,0
2022-12-20,Casual viewers,0
2022-12-21,Casual viewers,0
2022-12-22,Casual viewers,0
2022-12-23,Casual viewers,0
2022-12-24,Casual viewers,0
2022-12-25,Casual viewers,0
2022-12-26,Casual viewers,0
2022-12-27,Casual viewers,0
2022-12-28,Casual viewers,0
2022-12-29,Casual viewers,0
2022-12-30,Casual viewers,0
2022-12-31,Casual viewers,0
2023-01-01,Casual viewers,0
2023-01-02,Casual viewers,0
2023-01-03,Casual viewers,0
2023-01-04,Casual viewers,0
2023-01-05,Casual viewers,0
2023-01-06,Casual viewers,0
2023-01-07,Casual viewers,0
2023-01-08,Casual viewers,0
2023-01-09,Casual viewers,0
2023-01-10,Casual viewers,0
2023-01-11,Casual viewers,0
2023-01-12,Casual viewers,0
2023-01-13,Casual viewers,0
2023-01-14,Casual viewers,0
2023-01-15,Casual viewers,0
2023-01-16,Casual viewers,0
2023-01-17,Casual viewers,0
2023-01-18,Casual viewers,0
2023-01-19,Casual viewers,0
2023-01-20,Casual viewers,0
2023-01-21,Casual viewers,0
2023-01-22,Casual viewers,0
2023-01-23,Casual viewers,0
2023-01-24,Casual viewers,0
2023-01-25,Casual viewers,0
2023-01-26,Casual viewers,0
2023-01-27,Casual viewers,0
2023-01-28,Casual viewers,0
2023-01-29,Casual viewers,0
2023-01-30,Casual viewers,0
2023-01-31,Casual viewers,0
2023-02-01,Casual viewers,0
2023-02-02,Casual viewers,0
2023-02-03,Casual viewers,0
2023-02-04,Casual viewers,0
2023-02-05,Casual viewers,0
2023-02-06,Casual viewers,0
2023-02-07,Casual viewers,0
2023-02-08,Casual viewers,0
2023-02-09,Casual viewers,0
2023-02-10,Casual viewers,0
2023-02-11,Casual viewers,0
2023-02-12,Casual viewers,0
2023-02-13,Casual viewers,0
2023-02-14,Casual viewers,0
2023-02-15,Casual viewers,0
2023-02-16,Casual viewers,0
2023-02-17,Casual viewers,0
2023-02-18,Casual viewers,0
2023-02-19,Casual viewers,0
2023-02-20,Casual viewers,0
2023-02-21,Casual viewers,0
2023-02-22,Casual viewers,0
2023-02-23,Casual viewers,0
2023-02-24,Casual viewers,0
2023-02-25,Casual viewers,0
2023-02-26,Casual viewers,0
2023-02-27,Casual viewers,0
2023-02-28,Casual viewers,0
2023-03-01,Casual viewers,0
2023-03-02,Casual viewers,0
2023-03-03,Casual viewers,0
2023-03-04,Casual viewers,0
2023-03-05,Casual viewers,0
2023-03-06,Casual viewers,0
2023-03-07,Casual viewers,0
2023-03-08,Casual viewers,0
2023-03-09,Casual viewers,0
2023-03-10,Casual viewers,0
2023-03-11,Casual viewers,0
2023-03-12,Casual viewers,0
2023-03-13,Casual viewers,0
2023-03-14,Casual viewers,0
2023-03-15,Casual viewers,0
2023-03-16,Casual viewers,0
2023-03-17,Casual viewers,0
2023-03-18,Casual viewers,0
2023-03-19,Casual viewers,0
2023-03-20,Casual viewers,0
2023-03-21,Casual viewers,0
2023-03-22,Casual viewers,0
2023-03-23,Casual viewers,0
2023-03-24,Casual viewers,0
2023-03-25,Casual viewers,0
2023-03-26,Casual viewers,0
2023-03-27,Casual viewers,0
2023-03-28,Casual viewers,0
2023-03-29,Casual viewers,0
2023-03-30,Casual viewers,0
2023-03-31,Casual viewers,0
2023-04-01,Casual viewers,0
2023-04-02,Casual viewers,0
2023-04-03,Casual viewers,0
2023-04-04,Casual viewers,0
2023-04-05,Casual viewers,0
2023-04-06,Casual viewers,0
2023-04-07,Casual viewers,0
2023-04-08,Casual viewers,0
2023-04-09,Casual viewers,0
2023-04-10,Casual viewers,0
2023-04-11,Casual viewers,0
2023-04-12,Casual viewers,0
2023-04-13,Casual viewers,0
2023-04-14,Casual viewers,0
2023-04-15,Casual viewers,0
2023-04-16,Casual viewers,0
2023-04-17,Casual viewers,0
2023-04-18,Casual viewers,0
2023-04-19,Casual viewers,0
2023-04-20,Casual viewers,0
2023-04-21,Casual viewers,0
2023-04-22,Casual viewers,0
2023-04-23,Casual viewers,0
2023-04-24,Casual viewers,0
2023-04-25,Casual viewers,0
2023-04-26,Casual viewers,0
2023-04-27,Casual viewers,0
2023-04-28,Casual viewers,0
2023-04-29,Casual viewers,0
2023-04-30,Casual viewers,0
2023-05-01,Casual viewers,0
2023-05-02,Casual viewers,0
2023-05-03,Casual viewers,0
2023-05-04,Casual viewers,0
2023-05-05,Casual viewers,0
2023-05-06,Casual viewers,0
2023-05-07,Casual viewers,0
2023-05-08,Casual viewers,0
2023-05-09,Casual viewers,0
2023-05-10,Casual viewers,0
2023-05-11,Casual viewers,0
2023-05-12,Casual viewers,0
2023-05-13,Casual viewers,0
2023-05-14,Casual viewers,0
2023-05-15,Casual viewers,0
2023-05-16,Casual viewers,0
2023-05-17,Casual viewers,0
2023-05-18,Casual viewers,0
2023-05-19,Casual viewers,0
2023-05-20,Casual viewers,0
2023-05-21,Casual viewers,0
2023-05-22,Casual viewers,0
2023-05-23,Casual viewers,0
2023-05-24,Casual viewers,0
2023-05-25,Casual viewers,0
2023-05-26,Casual viewers,0
2023-05-27,Casual viewers,0
2023-05-28,Casual viewers,0
2023-05-29,Casual viewers,0
2023-05-30,Casual viewers,0
2023-05-31,Casual viewers,0
2023-06-01,Casual viewers,0
2023-06-02,Casual viewers,0
2023-06-03,Casual viewers,0
2023-06-04,Casual viewers,0
